Unnamed: 0,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,category
21,2024-02-07T02:40:00Z,UC2rmgVaijnf92nixlIZWGmg,Africans Are The Only People Who Demonize Their Own Traditional Religions. Here’s Why.,,"{'default': {'url': 'https://i.ytimg.com/vi/jQeDBoZYVSo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jQeDBoZYVSo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jQeDBoZYVSo/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-02-07T02:40:00Z,jQeDBoZYVSo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/jQeDBoZYVSo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Travel
12,2024-02-07T01:52:39Z,UCKZGcrxRAhdUi58Mdr565mw,South African Woman Couldn&#39;t Believe She Was Asked If Lions Were In Her Village,Phillip Scott reports on a Sists from South Africa who couldn't believe she was asked about a lion being in her village while visiting ...,"{'default': {'url': 'https://i.ytimg.com/vi/USC0WlYktOI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/USC0WlYktOI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/USC0WlYktOI/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-02-07T01:52:39Z,USC0WlYktOI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/USC0WlYktOI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
6,2024-02-07T00:55:00Z,UCRVsqvXIdgyPVS-a6fGa1lA,Facebook&#39;s Strategic Shift to the Metaverse,Rashad Bilal discusses the business implications of rebranding a company and venturing into the metaverse. He highlights the ...,"{'default': {'url': 'https://i.ytimg.com/vi/UkUCpkQO5Pc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UkUCpkQO5Pc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UkUCpkQO5Pc/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-02-07T00:55:00Z,UkUCpkQO5Pc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UkUCpkQO5Pc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Productivity
9,2024-02-07T00:30:31Z,UCl6to6J7oVltnhHEVm1s87A,"On 1865, the 13th Amendment of the United States Constitution was passed, abolishing slavery.",theperspective #africanhistory #africanews #africax5 How Slavery continued after the 13th amendment 'abolished slavery' In ...,"{'default': {'url': 'https://i.ytimg.com/vi/ixJNM-5oyWU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ixJNM-5oyWU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ixJNM-5oyWU/hqdefault.jpg', 'width': 480, 'height': 360}}",Africax5 Network,none,2024-02-07T00:30:31Z,ixJNM-5oyWU,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/ixJNM-5oyWU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
31,2024-02-06T22:13:53Z,UCepJ2MwkHah89uXokQVgUrA,Pan-African Attitude Ep.1 - Kenya High Court Ruling On Haiti,With the Kenyan High Court ruling Kenya's deployment of police to Haiti as unconstitutional and the president's insistence that the ...,"{'default': {'url': 'https://i.ytimg.com/vi/hiFI4s7SrcM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hiFI4s7SrcM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hiFI4s7SrcM/hqdefault.jpg', 'width': 480, 'height': 360}}",African Stream,none,2024-02-06T22:13:53Z,hiFI4s7SrcM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/hiFI4s7SrcM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
32,2024-02-06T22:03:34Z,UC4m46pCBkMEyy8gk26WKqbA,GiGi Macguire | Season 2 | Episode 26 | New Jack Thriller City | 02.06.24,85southshow Watch the real now on https://www.channeleightyfive.com/,"{'default': {'url': 'https://i.ytimg.com/vi/GjaedkfisFE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GjaedkfisFE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GjaedkfisFE/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2024-02-06T22:03:34Z,GjaedkfisFE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/GjaedkfisFE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Entertainment
7,2024-02-06T22:00:10Z,UCDsOKnUQnQek7-G7Xc5kB8Q,Service Companies Vs Product Companies - James Altucher - Social Proof Podcast ep. 435,Watch Full Episode: https://youtu.be/EozyN51mb0A?si=R7GLAzNPJTVfubHD #entrepreneur #smallbusiness #podcast #howto In ...,"{'default': {'url': 'https://i.ytimg.com/vi/SCjYB-VpfvA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SCjYB-VpfvA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SCjYB-VpfvA/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-02-06T22:00:10Z,SCjYB-VpfvA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SCjYB-VpfvA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Productivity
26,2024-02-06T21:01:14Z,UCW5NNtTSY5z5mENZ8dt-RCw,Brazil Carnival 2024,,"{'default': {'url': 'https://i.ytimg.com/vi/bXfhSY_RaOw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bXfhSY_RaOw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bXfhSY_RaOw/hqdefault.jpg', 'width': 480, 'height': 360}}",ACE ,none,2024-02-06T21:01:14Z,bXfhSY_RaOw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bXfhSY_RaOw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Travel
11,2024-02-06T19:45:00Z,UC-4h1XQ47sf0vbFwJvuBhEA,Zambia&#39;s Radical Plan to Maximize Mineral Resources Profits - No More Cheap Sales of Copper,Zambia's Radical Plan to Maximize Mineral Resources Profits - No More Cheap Sales of Copper - Beneath Zambia's soil lies a ...,"{'default': {'url': 'https://i.ytimg.com/vi/3BR64FbbsF0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3BR64FbbsF0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3BR64FbbsF0/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-02-06T19:45:00Z,3BR64FbbsF0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/3BR64FbbsF0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
20,2024-02-06T18:44:22Z,UCi2uaWdy6OTf4Ty7DVC_7lw,my life Struggles as a New Horse owner  ... !!!,"Hello family , welcome to my YouTube channel iam_marwa ,THINGS WENT HORRIABLY BAD BUT THE END WAS .","{'default': {'url': 'https://i.ytimg.com/vi/ckw3-V62m7s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ckw3-V62m7s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ckw3-V62m7s/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-02-06T18:44:22Z,ckw3-V62m7s,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ckw3-V62m7s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Travel
8,2024-02-06T18:36:58Z,UCKLSjhp6XZUEYDT1DMcrj8w,Julius Malema refuse Family Planning! SUPER SPEECH,"Please SUBSCRIBE, LIKE, COMMENT and Share, Thank for Watching #Love #Peace #AfricanSolutions.","{'default': {'url': 'https://i.ytimg.com/vi/LkKNqm0FgfY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LkKNqm0FgfY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LkKNqm0FgfY/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-02-06T18:36:58Z,LkKNqm0FgfY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/LkKNqm0FgfY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
5,2024-02-06T18:00:09Z,UCIwGnOXoSXEI7Tooz3iKq5w,They Lied about the TRUE cradle of civilization,Join this channel to get access to perks: https://www.youtube.com/channel/UCIwGnOXoSXEI7Tooz3iKq5w/join ...,"{'default': {'url': 'https://i.ytimg.com/vi/qS92kE84VQQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qS92kE84VQQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qS92kE84VQQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Without History,none,2024-02-06T18:00:09Z,qS92kE84VQQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/qS92kE84VQQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",History
18,2024-02-06T18:00:07Z,UCrPq2ekHx2vZtuyG3wUx0_g,When Black Power Gets Whitewashed | Ron Karenga &amp; Kwanzaa Breakdown Clip,cashapp: $joeward84 Follow us on Instagram @ontheshoulders1 Visit us at www.ontheshoulders1.com or ...,"{'default': {'url': 'https://i.ytimg.com/vi/cYNEnSIzuxo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cYNEnSIzuxo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cYNEnSIzuxo/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,none,2024-02-06T18:00:07Z,cYNEnSIzuxo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/cYNEnSIzuxo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Social Issues
27,2024-02-06T16:24:34Z,UCwZ2vurIl_X8rv0Dv4mu12A,"Art Alchemist Joavan Puran On His Metaphysical Approach To Art, Rastafari, And Ras Daniel Heartman",Joavan Puran is a Jamaican contemporary artist whose work is inspired by metaphysics and Rastafari. In this reasoning Puran ...,"{'default': {'url': 'https://i.ytimg.com/vi/-IRJjcspfuc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-IRJjcspfuc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-IRJjcspfuc/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2024-02-06T16:24:34Z,-IRJjcspfuc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/-IRJjcspfuc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Social Issues
30,2024-02-06T16:21:25Z,UCOhiR-6Y-MZtMERKRENrcRw,Ret. Police warns African Americans on the discrimination of Police,"This channel is to bring the awareness to the world of the beautiful continent of Africa. My intentions are to show the development, ...","{'default': {'url': 'https://i.ytimg.com/vi/xp7UWNF9dz4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xp7UWNF9dz4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xp7UWNF9dz4/hqdefault.jpg', 'width': 480, 'height': 360}}",GoBlack2Africa ,none,2024-02-06T16:21:25Z,xp7UWNF9dz4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xp7UWNF9dz4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Travel
28,2024-02-06T16:13:37Z,UCF-A_4x9-bLrxXrmgBOWuJA,"CIC Julius Malema Addresses Ward 88, Emhlabeni Ground, eThekwini in KZN.","CIC Julius Malema Addresses Ward 88, Emhlabeni Ground, eThekwini in KZN.","{'default': {'url': 'https://i.ytimg.com/vi/8tIMGnq21v0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8tIMGnq21v0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8tIMGnq21v0/hqdefault.jpg', 'width': 480, 'height': 360}}",Economic Freedom Fighters,none,2024-02-06T16:13:37Z,8tIMGnq21v0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8tIMGnq21v0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
10,2024-02-06T14:43:13Z,UC1ettU5YSf_nIOJWffCKGQw,Bold south africa minister reveals why French president Macron was not invited to BRICS,"South africa minister of foreign affairs Naledi Pandor, speaks to journalist in an interview explaining why the president of France, ...","{'default': {'url': 'https://i.ytimg.com/vi/uX5z2dSlBHA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uX5z2dSlBHA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uX5z2dSlBHA/hqdefault.jpg', 'width': 480, 'height': 360}}",LuiSpot,none,2024-02-06T14:43:13Z,uX5z2dSlBHA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/uX5z2dSlBHA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
25,2024-02-06T12:21:27Z,UClwrpH_Np9zk8uMwnMwu8Nw,Elephant Foot from Namibia 😮😮🐘,The Image of AFRICA has been DISTORTED around the WORLD & We are CHANGING the NARRATIVE via YOUTUBE videos ...,"{'default': {'url': 'https://i.ytimg.com/vi/r3stEeNu-G0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/r3stEeNu-G0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/r3stEeNu-G0/hqdefault.jpg', 'width': 480, 'height': 360}}",WODE MAYA,none,2024-02-06T12:21:27Z,r3stEeNu-G0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/r3stEeNu-G0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Travel
16,2024-02-06T04:59:29Z,UCPk29gUc_ltOGQ6f3Lh5kCg,David Oyelowo - On The Need For Black Producers (2024),David Oyelowo star and producer of LAWMEN: BASS REEVES (Paramount +) discusses the need for more black actors to be ...,"{'default': {'url': 'https://i.ytimg.com/vi/fYZXQV6S3Lc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fYZXQV6S3Lc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fYZXQV6S3Lc/hqdefault.jpg', 'width': 480, 'height': 360}}",Reelblack One,none,2024-02-06T04:59:29Z,fYZXQV6S3Lc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/fYZXQV6S3Lc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Entertainment
22,2024-02-05T23:00:00Z,UCJa58Tf70HC5q2oQDNBrJ2g,Learn To Spread Your Story Across By Correctly Packaging It For Market - The Diaspora Storytelling,Let's embark on a journey to effectively share our narrative by skillfully packaging it for the market. It's time to master the art of ...,"{'default': {'url': 'https://i.ytimg.com/vi/-6NtgWOyFIs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-6NtgWOyFIs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-6NtgWOyFIs/hqdefault.jpg', 'width': 480, 'height': 360}}",African Docs,none,2024-02-05T23:00:00Z,-6NtgWOyFIs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/-6NtgWOyFIs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",History
17,2024-02-05T18:08:48Z,UCABZ7Z6SBTp4IsARDceOq7w,Jay Z Called Out By Angry White &#39;Taylor Swift&#39; Fans For Grammys Speech: &quot;Tacky!&quot; - HP News,https://www.hypeplustv.com/ - Jay Z would make a rare appearance at this year's Grammy's but it wouldn't end without getting ...,"{'default': {'url': 'https://i.ytimg.com/vi/EAu_3VNPgGY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EAu_3VNPgGY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EAu_3VNPgGY/hqdefault.jpg', 'width': 480, 'height': 360}}",Comedy Hype,none,2024-02-05T18:08:48Z,EAu_3VNPgGY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/EAu_3VNPgGY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Entertainment
19,2024-02-05T18:04:06Z,UCG7uFJVZsxQRwDssom9Pavw,Senegal Might have Just Gone Through a Secret French Coup,Senegal is in turmoil as riot police deployed tear gas to disperse protesters angered by the postponement of the February 25th ...,"{'default': {'url': 'https://i.ytimg.com/vi/NDh0cz-ZSLI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NDh0cz-ZSLI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NDh0cz-ZSLI/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-02-05T18:04:06Z,NDh0cz-ZSLI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NDh0cz-ZSLI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
0,2024-02-05T11:46:11Z,UCHbmePHjGH3pklvSla6szWw,This is How Dr. Chancellor Williams and Dr. Cheikh Anta Diop Discovered That Kemet/Egypt Was Black,"In this video we look at how Dr. Chancellor Williams and Dr. Cheikh Anta Diop reached the same conclusion about Black Kemet, ...","{'default': {'url': 'https://i.ytimg.com/vi/3Zc9h4ac5cg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3Zc9h4ac5cg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3Zc9h4ac5cg/hqdefault.jpg', 'width': 480, 'height': 360}}",KueliMika,none,2024-02-05T11:46:11Z,3Zc9h4ac5cg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/3Zc9h4ac5cg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",History
29,2024-02-05T03:17:06Z,UCF71yDQwxfw0QcYb2JnkB5Q,Why I Left the American Dream for Ghana 🇬🇭,Meet the Dynamic Duo: Nana Amobi & Kokwe Amegavie Friends for 20+ years and the masterminds behind Polish'd & Hair ...,"{'default': {'url': 'https://i.ytimg.com/vi/I_9Ev2rbvtA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/I_9Ev2rbvtA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/I_9Ev2rbvtA/hqdefault.jpg', 'width': 480, 'height': 360}}",PassportHeavy,none,2024-02-05T03:17:06Z,I_9Ev2rbvtA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/I_9Ev2rbvtA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Travel
4,2024-02-04T16:02:42Z,UCh2ANLALdN1OZUJKmvchkkg,The Tragic End of Pharaonic Dynasties: The Original Game of Thrones,Did you know that? Which event do you consider the most significant? Let me know in the comments below. For in depth content ...,"{'default': {'url': 'https://i.ytimg.com/vi/6LAhSW6zQXQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6LAhSW6zQXQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6LAhSW6zQXQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Mr. Imhotep,none,2024-02-04T16:02:42Z,6LAhSW6zQXQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/6LAhSW6zQXQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",History
2,2024-01-31T14:14:06Z,UCjBw2SidW7wFElbmj9bgDjw,😳 Why this Nefertiti so SCARY?!?! 😱 #Nefertiti #reconstruction #kemet,,"{'default': {'url': 'https://i.ytimg.com/vi/KJaBAgwRSrc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KJaBAgwRSrc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KJaBAgwRSrc/hqdefault.jpg', 'width': 480, 'height': 360}}",The Kings Monologue,none,2024-01-31T14:14:06Z,KJaBAgwRSrc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KJaBAgwRSrc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",History
