,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds
21,2024-02-14T02:58:27Z,UC2rmgVaijnf92nixlIZWGmg,Black Americans Being &quot;Replaced&quot; By Migrants Is Self-Inflicted.....Here&#39;s Why,"Black Americans Being ""Replaced"" By Migrants Is Self-Inflicted.....Here's Why Patreon: https://www.patreon.com/searchforuhuru ...","{'default': {'url': 'https://i.ytimg.com/vi/nVfPE_LjTJE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nVfPE_LjTJE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nVfPE_LjTJE/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-02-14T02:58:27Z,nVfPE_LjTJE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nVfPE_LjTJE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
8,2024-02-14T02:00:30Z,UCKLSjhp6XZUEYDT1DMcrj8w,How to Make Money in Africa and Become richer!,"Invest in Science and Technology, Agriculture, Infrastructure development, trading, tourism and Natural resources. Please ...","{'default': {'url': 'https://i.ytimg.com/vi/rzUHvhXANlI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rzUHvhXANlI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rzUHvhXANlI/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-02-14T02:00:30Z,rzUHvhXANlI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/rzUHvhXANlI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
17,2024-02-14T00:56:09Z,UCABZ7Z6SBTp4IsARDceOq7w,Bernie Mac Show&#39;s Camille Winbush Confronts Disrespectful Comment Over &#39;OnlyFans&#39; Pics - CH News,"https://comedyhype.com/ - While celebrating her birthday, Camile Win bush would speak up for herself against a user who would ...","{'default': {'url': 'https://i.ytimg.com/vi/W2weAK6m2q8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/W2weAK6m2q8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/W2weAK6m2q8/hqdefault.jpg', 'width': 480, 'height': 360}}",Comedy Hype,none,2024-02-14T00:56:09Z,W2weAK6m2q8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/W2weAK6m2q8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
2,2024-02-14T00:19:16Z,UCjBw2SidW7wFElbmj9bgDjw,The Neues Museum of Berlin BLEW MY MIND (Pt. 2),"A Critical Walkthrough of the Neues Museum's Egyptian Collection Hello, dear friends! I've recently ventured through the halls of ...","{'default': {'url': 'https://i.ytimg.com/vi/dnVrDvJ7H9w/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dnVrDvJ7H9w/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dnVrDvJ7H9w/hqdefault_live.jpg', 'width': 480, 'height': 360}}",The Kings Monologue,upcoming,2024-02-14T00:19:16Z,dnVrDvJ7H9w,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/dnVrDvJ7H9w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
22,2024-02-13T23:00:31Z,UCJa58Tf70HC5q2oQDNBrJ2g,Building African Diaspora Memory Through Storytelling – The Diaspora Storytelling Series,Why Is Building African Diaspora Memory Through Storytelling Important Today? Building African Diaspora Memory Through ...,"{'default': {'url': 'https://i.ytimg.com/vi/fT3nDTvOIR8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fT3nDTvOIR8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fT3nDTvOIR8/hqdefault.jpg', 'width': 480, 'height': 360}}",African Docs,none,2024-02-13T23:00:31Z,fT3nDTvOIR8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/fT3nDTvOIR8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
7,2024-02-13T22:00:10Z,UCDsOKnUQnQek7-G7Xc5kB8Q,How To Give The Most Value As A Public Speaker - Jeremy Anderson - Social Proof Podcast ep. 437,Watch Full Episode: https://www.youtube.com/watch?v=MVikbMQEfXo #entrepreneur #smallbusiness #podcast #howto In this ...,"{'default': {'url': 'https://i.ytimg.com/vi/STRWMesJs14/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/STRWMesJs14/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/STRWMesJs14/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-02-13T22:00:10Z,STRWMesJs14,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/STRWMesJs14"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
23,2024-02-13T21:19:51Z,UCLjzzg-cFWpEEjnWCOpXp3Q,Hands Off Uhuru! Fightback Coalition OPEN MEETING,Welcome to this open meeting of the Hands Off Uhuru! Fightback Coalition.,"{'default': {'url': 'https://i.ytimg.com/vi/gb3CiU2U4M8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gb3CiU2U4M8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gb3CiU2U4M8/hqdefault.jpg', 'width': 480, 'height': 360}}",The Burning Spear TV,none,2024-02-13T21:19:51Z,gb3CiU2U4M8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/gb3CiU2U4M8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
31,2024-02-13T20:30:21Z,UCepJ2MwkHah89uXokQVgUrA,Kenyan Crowd For Hire Makes Fool Of Themselves!,"Kenya's plan to deploy police officers to Haiti does not enjoy support among ordinary people. So, you can imagine African ...","{'default': {'url': 'https://i.ytimg.com/vi/fnYKRBnVHi0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fnYKRBnVHi0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fnYKRBnVHi0/hqdefault.jpg', 'width': 480, 'height': 360}}",African Stream,none,2024-02-13T20:30:21Z,fnYKRBnVHi0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/fnYKRBnVHi0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
26,2024-02-13T20:30:16Z,UCW5NNtTSY5z5mENZ8dt-RCw,Brazilian Girls Love To Kiss - Rio Carnival 2024 Block Party Day 2,"Rio Carnival 2024 Block Party Day 2. Rio de Janeiro is a huge seaside city in Brazil, famed for its Copacabana and Ipanema ...","{'default': {'url': 'https://i.ytimg.com/vi/BufS4koJrfY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BufS4koJrfY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BufS4koJrfY/hqdefault.jpg', 'width': 480, 'height': 360}}",ACE ,none,2024-02-13T20:30:16Z,BufS4koJrfY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/BufS4koJrfY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
11,2024-02-13T19:30:00Z,UC-4h1XQ47sf0vbFwJvuBhEA,"DRC protesters target Western Embassies, As South Africa Deploy 2900 Troops to Fight Armed Groups","DRC protesters target Western embassies, As South Africa Deploy 2900 Troops to Fight Armed Groups In Eastern Congo - It is no ...","{'default': {'url': 'https://i.ytimg.com/vi/7XzsqsugM4o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7XzsqsugM4o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7XzsqsugM4o/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-02-13T19:30:00Z,7XzsqsugM4o,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/7XzsqsugM4o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
