,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,Timestamp,Title,Creator,handle,URL,Description,Type,Category,Tag,Img,Example,Unnamed: 12
7,2024-03-07T22:00:07Z,UCDsOKnUQnQek7-G7Xc5kB8Q,Should You Use An Irrevocable Trust Tax Strategy? - Carter Cofield - Social Proof Podcast ep. 443,Watch Full Episode: https://youtu.be/tZDXzpQ2dOg?si=TQgpV5XlvCUPzAiL #entrepreneur #smallbusiness #podcast #howto In ...,"{'default': {'url': 'https://i.ytimg.com/vi/HGQuup5ZfdI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HGQuup5ZfdI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HGQuup5ZfdI/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-03-07T22:00:07Z,HGQuup5ZfdI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/HGQuup5ZfdI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:50:16,Social Proof,Social Proof,,https://www.youtube.com/@RealSocialProof,"Welcome to the home of the #1 Entrepreneurship podcast for entrepreneurs! The ""Social Proof Podcast"" host's conversations with some of the greatest minds in the world. You will learn from people who have made anywhere 6-Figures with clothing brands and photography companies to true outliers who've built Billion Dollar Empires!  Our whole network is dedicated to teaching beginning entrepreneurs how to make the transition from the dead end 9-5 to becoming a fully free full-time entrepreneur.  This channel is perfect for you if... 👉🏽  You want to learn how to cover all of your living expenses with a simple side hustle 👉🏽  You want to scale your current business you 6 Figures to 7 Figures and beyond 👉🏽  You want to be introduced to some of the best minds in the world 👉🏽  You want to become the best version of yourself  Feel free to like, comment, subscribe and engage with us.",Channel,Productivity,Business,,https://youtu.be/j953EyHhyf4,
21,2024-03-07T21:26:50Z,UC2rmgVaijnf92nixlIZWGmg,When Black Indians Say DNA Test Aren&#39;t Real..... Show Them This.,When Black Indians Say DNA Test Aren't Real.... Show Them This. Cash App: $amirdynast Patreon: ...,"{'default': {'url': 'https://i.ytimg.com/vi/Y0lrYyVfqug/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Y0lrYyVfqug/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Y0lrYyVfqug/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-03-07T21:26:50Z,Y0lrYyVfqug,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Y0lrYyVfqug"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:15:47,Searchforuhuru,Searchforuhuru,,https://www.youtube.com/@Searchforuhuru,"The Vision is to build a bridge between Africa & her children of the diaspora. Oluse Afara ,which translates to bridge maker in Yoruba, is a title which was given to Dynast Amir which encompasses the work that he is doing. The title of Oluse Afara isn’t only limited to Dynast Amir, but to all of those whom are on a similar path. Building this bridge is the key to a much deeper mission. Dynast wants the diaspora to also invest in the people, the culture, help assist in building the infrastructure, and bring business development to Africa. ",Channel,Travel,Culture; Travel,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
26,2024-03-07T20:51:37Z,UCW5NNtTSY5z5mENZ8dt-RCw,Hurry Up And Buy,"Sao Paulo Brazil's Biggest Market - Rua 25 de Março is a public road located in the central region of the city of São Paulo, and is ...","{'default': {'url': 'https://i.ytimg.com/vi/uYASExS0cQk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uYASExS0cQk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uYASExS0cQk/hqdefault.jpg', 'width': 480, 'height': 360}}",ACE ,none,2024-03-07T20:51:37Z,uYASExS0cQk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/uYASExS0cQk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 16:04:19,ACE,ACE,,https://www.youtube.com/@Acelive,"Travel The World With Ace Wholesome Travel Content - I'm a Budget Traveler that wants to meet ordinary people who do amazing things. My biggest hope is my videos encourage people to travel more. I do weekly uploads so check my channel out.  My Favorite movie quote: The Count of Monte Cristo ""God will give me Justice"":  A story about a man who was forgotten but gets a second chance at life.",Channel,Travel,Travel,,https://youtu.be/bZSdXhAJFQY,
6,2024-03-07T20:00:16Z,UCRVsqvXIdgyPVS-a6fGa1lA,Should You Give or Loan Money to Friends?,"In this Black Out Short, Rashad Bilal discusses the concept of giving money versus loaning money to friends. He weighs the pros ...","{'default': {'url': 'https://i.ytimg.com/vi/RXt0VSnvo4s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RXt0VSnvo4s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RXt0VSnvo4s/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-03-07T20:00:16Z,RXt0VSnvo4s,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/RXt0VSnvo4s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:11:31,Earn Your Leisure,Earn Your Leisure,,https://www.youtube.com/@EarnYourLeisure,"The Earn Your Leisure Network is a revolutionary network which gives rise to emerging and established content creators from the world of business, finance and entrepreneurship whose perspective, expertise and in-depth insight have been undervalued and overlooked.   The Earn Your Leisure Networks ultimate purpose is to build as we climb as a community, highlighting collaboration over competition. The network currently features six shows, Market Mondays, Inside the Vault, Iinner Wealth, DreamNation, Rants and Gems Real Estate Podcast & 19 Keys's hit show High Level Conversations. ",Channel,Productivity,Business; Strategy; Implementation,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
12,2024-03-07T20:00:01Z,UCKZGcrxRAhdUi58Mdr565mw,Bloodstained Pieces Of Clothing Found Allegedly Belonging To 6 Year Old Joshlin Smith,"Inge Stoffels reports on new findings in the Joshlin Smith case. Bloodstained clothing, a knife and a blanket have been found in an ...","{'default': {'url': 'https://i.ytimg.com/vi/2rSRIoy__J4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2rSRIoy__J4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2rSRIoy__J4/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-03-07T20:00:01Z,2rSRIoy__J4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/2rSRIoy__J4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:35:57,African Diaspora News Channel,African Diaspora News Channel,,https://www.youtube.com/@AfricanDiasporaNews,"African Diaspora News Channel presents international news, social commentary, travel, and health. We're committed to reporting truthful and accurate news. Our viewers expect and love the ""tell it like it is"" style of reporting. We're dedicated to bringing stories that spark conversation and topics that aren't comfortable in a politically correct world. We will say what we believe and stand against propaganda. You can expect a balanced opinion in our news commentaries. We believe our viewing audience guides the direction of our platform.",Channel,Current Events,News,,https://youtu.be/yTftFBRk0ok,
14,2024-03-07T19:34:32Z,UCMe6CgCi6TSZX1tUxuUvCGg,"Excellency Hon RAZAC AWUDU, Africa coordinator PLO Lumumba Foundation",Cming up Live tonight with Dr Susan Tatah.,"{'default': {'url': 'https://i.ytimg.com/vi/JdtnGweX0J8/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JdtnGweX0J8/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JdtnGweX0J8/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Pan-African Daily TV,live,2024-03-07T19:34:32Z,JdtnGweX0J8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/JdtnGweX0J8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/7/2023 15:52:49,Pan-African Daily TV,Pan-African Daily TV,,https://www.youtube.com/@PanAfricanDailyTV,"Welcome to PanafricanDTV, your AFROTV. We are here to help revamp the spirit of a United Africa, #MakeAfricaGreatagain. We believe in '#Ubuntu the African philosophy of oneness and the bond of upholding African Values, Cultures, Spirituality and more. Are you Pan-African? Organization, group, initiatives and private persons with the spirit of pan-Africanism..then join us on this platform. Irrespective of all the negativities about Africa, Africa still remain to be that virgin continent with more than enough to offer ourselves and the entire world. We need to grow beyond the negative attributes and build Africa for Africans. Subscribe to our channel and be a part of this great dream #theafricawewant # UnitedAfrica  #Africaunion #Africandescent..  ABOUT US: - The Pan African Daily TV seeks to Unite all Sons and Daughters of Africa, African citizenry in the Diaspora and people of African Descent worldwide with a common purpose.  Support with a regular amount each month, Thanks.",Channel,Current Events,Culture,,https://youtu.be/l9b0MmUB6u0,
19,2024-03-07T19:00:37Z,UCG7uFJVZsxQRwDssom9Pavw,Ramaphosa Says South Africa  Will Take ISRAEL Back to the Hague for Genocide in Gaza,Ramaphosa Says South Africa Will Take Isreal Back to the Hague for Continuing Genocide in Gaza https://youtu.be/BQk1Dr-cnCI ...,"{'default': {'url': 'https://i.ytimg.com/vi/BQk1Dr-cnCI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BQk1Dr-cnCI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BQk1Dr-cnCI/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-03-07T19:00:37Z,BQk1Dr-cnCI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/BQk1Dr-cnCI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:12:26,2nacheki ,2nacheki ,,https://www.youtube.com/@2nacheki,"2nacheki pronounced (tunacheki) means 'We Are Watching ' in Swahili slang. Our goal is to educate & inform you about everything in Africa while showing the World that Africa is Watching. ~~-~~-~- Our African videos covers;  Africa Lists, Africa News,  Africa Speeches , Africa Entertainment , Africa History  Africa Documentaries, Panafricanism , African Culture and more",Channel,Current Events,News; Discussion,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
20,2024-03-07T19:00:06Z,UCi2uaWdy6OTf4Ty7DVC_7lw,Was This Serious ...NYABOHANSE Telenovela Continues ... ( Ep 004 ) !!!,"Hello family , welcome to my YouTube channel iam_marwa ,Uncomfortable Questions With My Sister @DeeMwango as ...","{'default': {'url': 'https://i.ytimg.com/vi/fu23z4TVc8k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fu23z4TVc8k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fu23z4TVc8k/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-03-07T19:00:06Z,fu23z4TVc8k,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/fu23z4TVc8k"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:12:58,iam_marwa,iam_marwa,,https://www.youtube.com/@iammarwa,iam_marwa,Channel,Travel,Travel,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
8,2024-03-07T18:35:37Z,UCKLSjhp6XZUEYDT1DMcrj8w,Dr Arikana hold Robust dialogue on Africa Poverty Secretes,"Please SUBSCRIBE, LIKE, COMMENT and Share, Thank for Watching #Love #Peace #AfricanSolutions.","{'default': {'url': 'https://i.ytimg.com/vi/kkNIo4_Xvf4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kkNIo4_Xvf4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kkNIo4_Xvf4/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-03-07T18:35:37Z,kkNIo4_Xvf4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kkNIo4_Xvf4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:14:55,Make Afrika Great,Make Afrika Great,,https://www.youtube.com/@MakeAfrikaGreat,Make Afrika Great,Channel,Current Events,"Make Afrika Great is the channel on YouTube, aimed at Educating and Informing you about everything in Africa, inspiring and  Uniting the people. Our Goal is to share thoughts and idea about Africa. Inspire Young People to Make Africa great, Coming together Finding Solutions  of  Problems. We believe that Africa has a lot of opportunities and Many Resources that can bring Development to the Continent of Africa Our content includes: - - Best speeches of our Leaders. -Young innovators and creators -Africa NEWS and UPDATES -Africa Culture -Inspiration Speeches of African Leaders & Pan Africanism  -investments places",none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
18,2024-03-07T18:00:06Z,UCrPq2ekHx2vZtuyG3wUx0_g,The Negro Mind Is Still In Chains | Message To The Blackman In America Book Clip,cashapp: $joeward84 Follow us on Instagram @ontheshoulders1 Visit us at www.ontheshoulders1.com or ...,"{'default': {'url': 'https://i.ytimg.com/vi/ZJdk8HAwFis/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZJdk8HAwFis/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZJdk8HAwFis/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,none,2024-03-07T18:00:06Z,ZJdk8HAwFis,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ZJdk8HAwFis"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6/5/2023 17:08:16,On the Shoulders of Giants,On the Shoulders of Giants,,https://www.youtube.com/@Ontheshoulders1,On the Shoulders of Giants,Channel,Social Issues,Discussion; Strategy; Implementation,none,https://youtu.be/fH8cSxfGiuA?si=_BxvmHzhsKaIzzC1,
