,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,category
50,2024-07-15T01:52:48Z,UCHVBLMcvOgDtFEF2bToQLqw,Apostle Paul replaced the True Israelites not like us,Apostle Paul replaced the True Israelites not like us.,"{'default': {'url': 'https://i.ytimg.com/vi/DbHFhl-oimA/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DbHFhl-oimA/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DbHFhl-oimA/hqdefault_live.jpg', 'width': 480, 'height': 360}}",We Woke Now,upcoming,2024-07-15T01:52:48Z,DbHFhl-oimA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/DbHFhl-oimA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
34,2024-07-15T01:15:27Z,UCrPq2ekHx2vZtuyG3wUx0_g,Your Oppressor Will Never Accept You,,"{'default': {'url': 'https://i.ytimg.com/vi/EhHtGOSOw6U/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EhHtGOSOw6U/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EhHtGOSOw6U/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,none,2024-07-15T01:15:27Z,EhHtGOSOw6U,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/EhHtGOSOw6U"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
19,2024-07-15T00:00:06Z,UCRVsqvXIdgyPVS-a6fGa1lA,The Impact of Single Mothers on Sons: A Deep Dive,"In this captivating episode of *Black Out with Ian & Rashad*, we explore a thought-provoking and sensitive topic that has been ...","{'default': {'url': 'https://i.ytimg.com/vi/FWbY47K92fc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FWbY47K92fc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FWbY47K92fc/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-07-15T00:00:06Z,FWbY47K92fc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/FWbY47K92fc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
18,2024-07-14T22:47:45Z,UCwbP4USYrniJGROwQNiwH-Q,Sexxy Red Has An AGENDA #sexxyred #agenda #manospheredaily #redpill #musicindustry,Book Your 1-On-1 60-Minute Advice Consultations Here: https://calendly.com/deedeewoods4real Join My Patreon Here: ...,"{'default': {'url': 'https://i.ytimg.com/vi/OGDg8EejniE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OGDg8EejniE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OGDg8EejniE/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2024-07-14T22:47:45Z,OGDg8EejniE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/OGDg8EejniE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
47,2024-07-14T22:05:13Z,UC-4h1XQ47sf0vbFwJvuBhEA,LIVE - FBI releases identity of suspected gunman in assassination attempt of Donald Trump,"FBI releases identity of suspected gunman in assassination attempt of former president Donald Trump - Police in Butler, ...","{'default': {'url': 'https://i.ytimg.com/vi/9_PnEy8gMGI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9_PnEy8gMGI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9_PnEy8gMGI/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-07-14T22:05:13Z,9_PnEy8gMGI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/9_PnEy8gMGI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
25,2024-07-14T21:16:39Z,UCi2uaWdy6OTf4Ty7DVC_7lw,The Ungreatful People i Have Helped || iam_marwa,"Hello family , welcome to my YouTube channel iam_marwa , i hope you have enjoyed this video. PayPal ...","{'default': {'url': 'https://i.ytimg.com/vi/AJj4RMViIRE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AJj4RMViIRE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AJj4RMViIRE/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-07-14T21:16:39Z,AJj4RMViIRE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/AJj4RMViIRE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
0,2024-07-14T20:53:10Z,UCG7uFJVZsxQRwDssom9Pavw,Niger Accuses France of Recolonization Plot Amid New African Sahel Union,Niger Accuses France of Recolonization Plot Amid New African Sahel Union https://youtu.be/nXS_jdepgEw #africanews ...,"{'default': {'url': 'https://i.ytimg.com/vi/nXS_jdepgEw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nXS_jdepgEw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nXS_jdepgEw/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-07-14T20:53:10Z,nXS_jdepgEw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nXS_jdepgEw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
39,2024-07-14T20:41:43Z,UC2rmgVaijnf92nixlIZWGmg,"Trump Assassination Attempt: The Most Iconic Photo Of The 21st Century, Was It Staged?","Trump Assassination Attempt: The Most Iconic Photo Of The 21st Century, Was It Staged Please Subscribe Patreon: ...","{'default': {'url': 'https://i.ytimg.com/vi/hVQqt_-TBA0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hVQqt_-TBA0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hVQqt_-TBA0/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-07-14T20:41:43Z,hVQqt_-TBA0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/hVQqt_-TBA0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
5,2024-07-14T20:08:40Z,UCKZGcrxRAhdUi58Mdr565mw,Did The West Rig South African&#39;s Elections?,Naledi Mfoloe reports on the controversial question of whether the West influenced South Africa's elections.,"{'default': {'url': 'https://i.ytimg.com/vi/-XAQVbyZY2M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-XAQVbyZY2M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-XAQVbyZY2M/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-07-14T20:08:40Z,-XAQVbyZY2M,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/-XAQVbyZY2M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
45,2024-07-14T20:01:12Z,UCLjzzg-cFWpEEjnWCOpXp3Q,Freedom Summer Sunday Rally,Welcome to the Hands Off Uhuru! Freedom Summer Sunday Rally.,"{'default': {'url': 'https://i.ytimg.com/vi/sSJPQNv5t30/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/sSJPQNv5t30/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/sSJPQNv5t30/hqdefault.jpg', 'width': 480, 'height': 360}}",The Burning Spear TV,none,2024-07-14T20:01:12Z,sSJPQNv5t30,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/sSJPQNv5t30"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
