Timestamp,Title,Creator,URL,Description,Type,Tag,Img,Example
2023-06-05T16:46:01Z,HomeTeam History,HomeTeam History,https://www.youtube.com/@hometeamhistory806,HomeTeam History,Channel,History; Education,none,https://youtu.be/r8PCd1ZV7cA
2023-06-05T17:08:16Z,On the Shoulders of Giants,On the Shoulders of Giants,https://www.youtube.com/@Ontheshoulders1,On the Shoulders of Giants,Channel,Discussion; Strategy; Implementation; Culture,none,https://youtu.be/SMJJvsIbblk
2023-06-05T17:11:31Z,Earn Your Leisure,Earn Your Leisure,https://www.youtube.com/@EarnYourLeisure,"The Earn Your Leisure Network is a revolutionary network which gives rise to emerging and established content creators from the world of business, finance and entrepreneurship whose perspective, expertise and in-depth insight have been undervalued and overlooked.   The Earn Your Leisure Networks ultimate purpose is to build as we climb as a community, highlighting collaboration over competition. The network currently features six shows, Market Mondays, Inside the Vault, Iinner Wealth, DreamNation, Rants and Gems Real Estate Podcast & 19 Keys's hit show High Level Conversations.",Channel,Business; Strategy; Implementation,none,https://youtu.be/ZL-3-gGzUyo
2023-06-05T17:12:26Z,2nacheki,2nacheki,https://www.youtube.com/@2nacheki,"2nacheki pronounced (tunacheki) means 'We Are Watching ' in Swahili slang. Our goal is to educate & inform you about everything in Africa while showing the World that Africa is Watching. ~~-~~-~- Our African videos covers;  Africa Lists, Africa News,  Africa Speeches , Africa Entertainment , Africa History  Africa Documentaries, Panafricanism , African Culture and more",Channel,News; Discussion,none,https://youtu.be/an7kVoIapPU
2023-06-05T17:12:58Z,iam_marwa,iam_marwa,https://www.youtube.com/@iammarwa,iam_marwa,Channel,Travel,none,https://youtu.be/DHQLW3eGYR0
2023-06-05T17:14:00Z,Mr. Imhotep,Mr. Imhotep,https://www.youtube.com/@mrimhotep,N°1 in African History,Channel,History; Kemet; Nile River Valley,none,https://youtu.be/hJrDYoe5abc
2023-06-05T17:14:55Z,Make Afrika Great,Make Afrika Great,https://www.youtube.com/@MakeAfrikaGreat,Make Afrika Great,Channel,"Make Afrika Great is the channel on YouTube, aimed at Educating and Informing you about everything in Africa, inspiring and  Uniting the people. Our Goal is to share thoughts and idea about Africa. Inspire Young People to Make Africa great, Coming together Finding Solutions  of  Problems. We believe that Africa has a lot of opportunities and Many Resources that can bring Development to the Continent of Africa Our content includes: - - Best speeches of our Leaders. -Young innovators and creators -Africa NEWS and UPDATES -Africa Culture -Inspiration Speeches of African Leaders & Pan Africanism  -investments places",none,https://youtu.be/QUrc86Wg1hs
2023-06-05T17:15:46Z,Searchforuhuru,Searchforuhuru,https://www.youtube.com/@Searchforuhuru,"The Vision is to build a bridge between Africa & her children of the diaspora. Oluse Afara ,which translates to bridge maker in Yoruba, is a title which was given to Dynast Amir which encompasses the work that he is doing. The title of Oluse Afara isn’t only limited to Dynast Amir, but to all of those whom are on a similar path. Building this bridge is the key to a much deeper mission. Dynast wants the diaspora to also invest in the people, the culture, help assist in building the infrastructure, and bring business development to Africa.",Channel,Culture; Travel,none,https://youtu.be/RI3kjWK2bUs
2023-06-05T17:17:27Z,Africax5,Africax5,https://www.youtube.com/@africax5,"AFRICAX5 is an independent source of news and views, sourced from our interlinked online communities worldwide.   Our aim is to allow for better understanding of current affairs and complex issues in our community. And hopefully allow for a better quality of public discourse and conversations to reach a positive solution for our people.",Channel,News; History; Culture,none,https://youtu.be/adVoNUxcmN4
2023-06-05T17:19:18Z,African Docs,African Docs,https://www.youtube.com/@AfricanDocs,"Welcome to African Docs. In this YouTube channel, we share everything educational about Africa and Africans, both home and abroad. If you are interested in learning about Africa, you will most certainly like the content we share here, especially our podcast ""African Leadership Podcast"" which focuses on people-oriented leadership.  Our objective is to promote “a people-oriented leadership” and to inspire the leaders of tomorrow, both in Africa and among different African communities in the diaspora. Check out also our Business and self-improvement YouTube channel ""Aclasses.org""",Channel,History; Education; Culture,none,https://youtu.be/ygvMSY2MqC0
2023-06-05T17:20:58Z,The Burning Spear,The Burning Spear,https://www.youtube.com/@theburningspear,The online voice of the International African Revolution,Channel,News; Discussion; Strategy; Implementation; Revolution,none,https://youtu.be/--X2itux2MI
2023-06-05T17:22:06Z,Luisp0t,Luisp0t,https://www.youtube.com/@Luisp0t,"Hey this is Lui. I'm an industrial chemist creating visual content, this is my spot - LuiSpot. Careful, English is not my 1st language, so I might not be able to please your ego. Mom says i'm lazy, but lazy doesn’t always mean bad.",Channel,Culture,none,https://youtu.be/1H4YWtqUruk
